averagerank.wholebrain,finalrank.wholebrain,finalrank.wholebrain.zscore,averagerank.hemisphere,finalrank.hemisphere
39127.45,46769,0.994845088365868,19332.75,22914
35003,38456,0.51014781542313,17338.9,18859
30758.05,30017,0.0181039941355371,15147.45,14442
27382,24143,-0.324385092988923,13453.6,11744
25179.7,20572,-0.532595602032412,12354.8,10020
28734.8,26515,-0.186083405100054,14294.6,13056
40857,50241,1.19728330942411,20156,24614
37566.2,43696,0.815670937066333,18572.8,21524
33536,35257,0.32362711577874,16590.4,17193
28236.3,25616,-0.238500444481206,13915.5,12457
25714.25,21434,-0.48233588240332,12598.45,10422
24386.05,19282,-0.607810263658314,11951.95,9374
28413.3,25936,-0.219842543922843,13962.3,12536
40488.85,49465,1.15203790057008,19975.95,24197
35779.6,40055,0.603379012275703,17677.1,19628
30354.7,29341,-0.0213108207940058,14977.1,14174.5
27087.9,23685,-0.351089213163081,13321.4,11545
25253.2,20677.5,-0.526444325442076,12384,10064
28390.7,25885,-0.222816146824332,13959.8,12532
37414.4,43406.5,0.798791367654939,18509.8,21392
35346.05,39159,0.551136890712285,17480.85,19217
30696.9,29930,0.013031377421232,15132.2,14424
27799.6,24867,-0.282171592975626,13667.3,12068
28728.7,26505,-0.186666464492503,14108.3,12785
36597.8,41792,0.70465642874407,18032.2,20459
33881,35995.5,0.366686051911088,16740.7,17516
29499.9,27847,-0.108419894025866,14514,13412
27382.7,24145,-0.324268481110434,13436.25,11728
28373.45,25848,-0.224973466576393,13938.05,12502
36607.9,41811,0.705764241589723,18035.85,20468
32432.85,32995,0.191739081206808,16013.75,16005
28627.1,26322,-0.197336451374317,14056.6,12694
28535.75,26158,-0.206898625410478,13978.05,12558
28025.15,25256,-0.259490582609365,13747.55,12180.5
35739.1,39973,0.598597925257623,17607.05,19489
31661.9,31618,0.1114518028666,15704.6,15421
28882.35,26766,-0.171448614349587,14300.35,13067
28330,25773,-0.229346412019759,13882.6,12395
34083.4,36446.5,0.392982030510532,16798.05,17636
30729.85,29972,0.0154802268695172,15215.95,14569.5
29014.25,26980,-0.158971143351182,14329.25,13115
27202.1,23848,-0.341585345066165,13347.8,11597
32156.05,32523,0.164218677883222,15796.5,15589
30482.15,29558,-0.00865843197786558,14929.55,14075
27917.9,25087,-0.269344286341751,13643,12033
26548.8,22779,-0.403914394118948,12953.3,10980
34174.6,36630,0.403681170361968,16879.55,17808
30107.3,28901,-0.0469654340617557,14756.2,13797
27948.1,25141,-0.266195765622527,13662.2,12063
26153.2,22122,-0.442221396202838,12764.6,10695
23746.1,18219,-0.669789477075628,11566.4,8703
34253.3,36792,0.41312673251964,16943.75,17971
31107.6,30625,0.0535540051964278,15296.2,14714
28584.1,26243,-0.201942620574663,13985.7,12572
27456.2,24260,-0.317563298097272,13392.4,11669
34028.6,36311,0.38508157574285,16827.35,17705
31938.3,32142,0.14200411503092,15816.4,15620
29476.9,27802,-0.111043661291885,14557.8,13476
27837.35,24949,-0.277390505957545,13669.65,12073
33627.2,35440,0.334297102660554,16619.55,17256
32648.6,33434,0.217335388535313,16173.9,16308
29884.5,28506.5,-0.0699671270938632,14786.6,13845
28234,25614,-0.238617056359696,13990.1,12585
26745.15,23108,-0.384731740107381,13126.75,11260
34184.6,36649,0.404788983207621,16956.4,18003
32897.8,33946,0.247188029428694,16339.4,16628
30502.1,29587,-0.00696755973976388,15151.35,14447
28350.4,25810,-0.227189092267698,14060.7,12709
26706.35,23056,-0.387763648948115,13116.45,11239
32986.15,34128,0.257799710371264,16374.8,16702
32834.35,33817,0.239666563266104,16311.95,16568
30963.95,30358.5,0.0380154723876657,15366.45,14835
28563.5,26206,-0.204099940326724,14188.7,12890.5
26880.8,23325,-0.37207935129124,13345.5,11590.5
32554.2,33256,0.206956931349723,16177.65,16315.5
31777.35,31859,0.125503534224617,15776.5,15559
31302.1,31005,0.0757102621094845,15530.2,15101
28862.75,26733,-0.173372710344669,14362.35,13167
27044.05,23606,-0.355695382363427,13457.55,11755
33012.85,34182,0.260948231090487,16420.9,16805.5
31636.05,31587.5,0.109673471719631,15724.6,15462
30337.65,29308,-0.0232349167890871,15072.1,14327
29105.35,27142,-0.14952558119351,14487.45,13365
26956.55,23454,-0.36455788512865,13443.25,11736
25323.75,20792,-0.519768295398537,12618.35,10459
31770.75,31843,0.124570639196699,15776.6,15561
30585.3,29737,0.00177833114696902,15232.45,14600.5
29430.3,27715.5,-0.116087125036568,14673.15,13662
28374.5,25851,-0.224798548758658,14154.5,12845
26833.7,23255,-0.376160767038382,13413.1,11695
25299.75,20751,-0.522158838907577,12616.35,10454
23188.85,17279,-0.724597059965821,11558.25,8684
29049.25,27050,-0.15488972760404,14457.6,13316.5
29121.6,27178,-0.147426567380694,14517.95,13416
28411.3,25930,-0.220192379558312,14182.55,12883
26617.15,22907,-0.396451233895603,13303,11504
26133.75,22091,-0.44402888031943,13081.95,11197.5
25187.85,20582,-0.532012542639963,12565.05,10362
22600.85,16247,-0.784768789266544,11247.05,8100
30802.15,30099,0.0228850811536178,15340.4,14790
29810.85,28380,-0.0773428284083413,14791.4,13852
28825.05,26669,-0.177104290456341,14323.7,13107
26018,21898,-0.455281926593693,13040.85,11122
24439.7,19381,-0.602037975673071,12128.55,9661
24872.8,20083,-0.561107206323161,12320.4,9963
23293.25,17478,-0.712994178056089,11610.65,8804
20461.35,12782.5,-0.986769715780451,10185.25,6394
33157.55,34511,0.280130885102055,16531.8,17052
31620.55,31555,0.107778528694172,15715.2,15448
28568.25,26219,-0.20334196311654,14194.8,12903
26103.7,22050,-0.44641942382847,13068.25,11174
23766.3,18251.5,-0.66789453405017,11870.15,9229
23634.8,18047,-0.679818098625749,11694.5,8952
21705,14737,-0.872810757526322,10747.7,7258
19936.05,12025,-1.03093646475845,9813.25,5778
33411.25,35011,0.309283854724498,16668.1,17354
32746,33621,0.228238599174106,16279.05,16507
28992.7,26945,-0.161011851224753,14374.75,13189
26160.4,22129,-0.441813254628124,13036.55,11116
23428.4,17714,-0.699233976394296,11687.05,8940
22128.65,15427,-0.83257965944735,10901.15,7506.5
21101.6,13774,-0.928959377019147,10387.6,6718
19625.5,11604,-1.05548326518055,9642.6,5536.5
19069.35,10866,-1.09851304834328,9398.55,5193
18224.75,9815,-1.15979259048965,8951.75,4611
32156.75,32527,0.164451901640201,15951.9,15896
32217.75,32615,0.169582824293751,15969.3,15929
28684.6,26427,-0.191214327753604,14226.05,12947.5
26872.4,23312,-0.372837328501424,13401.35,11680
24059.5,18720,-0.640578201513941,12023.85,9477
21824.05,14917,-0.862315688462242,10752.2,7269
21080.45,13733,-0.931349920528187,10368.15,6679
19330.2,11202,-1.07892225275699,9475.9,5303
18994.65,10763,-1.1045185600855,9352.35,5139
30931.45,30314,0.0354208580912683,15308.9,14740
29340.3,27557,-0.125328616406883,14545.95,13455
28272.65,25671,-0.235293617822738,14050.25,12688
26888,23338,-0.371321374081057,13385.45,11654
24362.9,19244,-0.61002588934962,12171.05,9738
21944.4,15121,-0.850421276856285,10909.15,7525
20384.55,12670,-0.993329133945501,10013.85,6090
18897.7,10642,-1.11157357873413,9264.7,5021
18403.9,10051,-1.14603238882786,9046.9,4741
17854.85,9284,-1.19075304422869,8760.85,4358
16620.4,7706,-1.28275981635712,8259.1,3788
30970.4,30372,0.0388026025674717,15282.5,14689
29826.25,28409,-0.0756519561702396,14741.45,13772
27384.15,24147,-0.324151869231944,13527.7,11870
26684.95,23021,-0.389804356821686,13257.9,11441
24570.85,19587,-0.590026952188624,12259.4,9884
21555.85,14500,-0.88662926512736,10612.1,7053
19875.35,11944,-1.03565924583729,9759.65,5706
18387.45,10030,-1.147256813552,9049.15,4743
17614.1,8923,-1.21180148829609,8656.6,4229
17266.25,8476,-1.23786424313855,8474.55,4036
18964.55,10719,-1.10708402141227,9433.55,5234
27964.2,25163,-0.26491303495914,13790,12239
29194.25,27298,-0.140429854671308,14433.55,13278
29282.25,27447,-0.13174226972382,14472.95,13341.5
28565.25,26212,-0.203750104691254,14189.65,12894
26298.55,22350,-0.428927642055004,13043.75,11125
23336.05,17563,-0.708038173220274,11531.55,8640
21137.4,13823,-0.926102385996147,10395.3,6730
19076.4,10878,-1.09781337707234,9397.4,5191
17932.15,9397.5,-1.18413532012439,8817.55,4420
18622.1,10310,-1.13093115056343,9176.6,4911
18460.15,10123,-1.14183436120223,9188.95,4919
26315.75,22375,-0.427469993573882,13024.25,11099
27395.4,24168,-0.322927444507801,13485.1,11799
27866.75,25004,-0.274183679299077,13694.85,12103
27935.65,25122,-0.26730357846818,13872.25,12373
26192.45,22182,-0.438723039848145,13021.05,11090
23043.7,17047,-0.738124037870635,11382.6,8359
20758.7,13247,-0.959686607001202,10203.7,6429
19788.05,11831,-1.04224781697196,9749.95,5686
20749.6,13229,-0.96073611390761,10242.5,6468
18730.2,10452,-1.12265170719066,9203.8,4940
19199.7,11033,-1.08877595648938,9458.4,5274
20403.7,12701,-0.99152164982891,10074.7,6204
23795.5,18298.5,-0.66515415490566,11909.65,9301
26355.3,22453,-0.422922130312781,12983.1,11027
26977.95,23483,-0.362867012890548,13281.05,11466
26260.6,22284,-0.432775834045167,13146.75,11282
26452.45,22615,-0.413476568155109,13143.45,11280
23293.55,17479,-0.712935872116844,11496.85,8585.5
19137,10951,-1.09355704350746,9570.75,5421
19871.7,11938.5,-1.03597992850314,9794.1,5744
20699.05,13141,-0.96586703656116,10218.35,6447
20344.85,12615,-0.99653596060397,10043.15,6146
20435.05,12747,-0.988839576623645,10093.95,6241
20823.3,13338,-0.954380766529917,10307.4,6574
23760.45,18241,-0.668506746412241,11860.25,9210
23272.75,17439,-0.715268109686639,11674.55,8918
24617.2,19662,-0.585654006745258,12340.75,10000
25171.5,20559.5,-0.533324426272973,12622.45,10463
25434.2,20979,-0.508865084759743,12755.65,10682
24184,18938.5,-0.627838353788933,12119.95,9642
23555.95,17925,-0.686931423213625,11643.05,8860
19373.9,11263,-1.07536559046306,9671.75,5574
19643.05,11634,-1.0537340870032,9689.15,5601
20490.5,12829,-0.984058489605564,10122.2,6287.5
19949.2,12050,-1.02947881627733,9849.3,5837
20167.3,12350,-1.01198703450386,9962.4,6017
21520.85,14446,-0.889777785846583,10766.85,7289
23833.25,18358,-0.661684951520589,11900.05,9279
24822.8,20002.5,-0.565800834432374,12422.6,10125
21721.1,14766,-0.87111988528822,10860.25,7436
22660,16361,-0.778121912192627,11344.25,8296
23467.3,17780,-0.695385784404133,11759.05,9038
23306.4,17507,-0.711303305817987,11658.45,8888.5
22799.6,16607,-0.763778651138385,11407.95,8399
23105.9,17145,-0.732410055824636,11423.6,8432
21113.5,13794,-0.927793258234249,10397.2,6733
19363.85,11251,-1.07606526173399,9550.25,5393
17732.25,9097,-1.20165625486748,8735.05,4321.5
19161.7,10988,-1.0913997237554,9446.6,5255
19911.1,11986,-1.033210396389,9827.7,5805
21626.45,14610.5,-0.8801864588408,10822.15,7385
22301.45,15740,-0.814329900463701,11127.05,7898
23484.5,17815,-0.693345076530562,11750.2,9028
25319.9,20787,-0.520059825094761,12678.4,10563
20129.7,12310,-1.01431927207366,9978.9,6044
20147.85,12328,-1.01326976516725,10040.3,6137
22062.6,15312,-0.839284842460512,11029.05,7712
21971,15158,-0.848263957104225,10973.65,7616
22133.6,15433,-0.832229823811881,11048.95,7752
20879.9,13412,-0.950066127025796,10451.15,6800
20631.15,13043,-0.971581018607159,10158.25,6337
18471.05,10139,-1.14090146617431,9087.15,4794
17602.65,8908,-1.21267607738476,8583.25,4149
19194.4,11026,-1.08918409806409,9473.7,5296
19221.65,11062.5,-1.08705593128166,9572.05,5424
20280.4,12515,-1.00236655452846,10124.1,6290
21342.35,14168,-0.905986836956662,10641.25,7097
23266.2,17429,-0.715851169079088,11642.3,8856
15778.9,6732,-1.33954980118163,7791.7,3223
18728.9,10449,-1.12282662500839,9307.35,5074
20697.2,13136,-0.966158566257384,10323.95,6606.5
21688.4,14721,-0.87374365255424,10839.05,7406
21770.2,14842,-0.866688633905609,10875.85,7460
20781.75,13273,-0.958170652580835,10389.3,6720
21003.15,13610,-0.938521551055308,10350.25,6646
19014.25,10790,-1.10294429972589,9365.85,5155
17826.25,9236,-1.19355172931244,8704.35,4288
19630,11613,-1.05495851172735,9692.5,5603
19753.2,11780,-1.04522141987345,9849.1,5835
20225.85,12438,-1.00685611185031,10091.35,6239
21032.45,13655,-0.935897783789288,10493.05,6871
23172,17255,-0.725996402507698,11598,8777
26765.1,23142,-0.382749338173054,13426.35,11712
23221.4,17353,-0.7202824204617,11458,8507
14574.5,5085,-1.43557968311796,7197.6,2379
17674.2,9013,-1.20655395376405,8778.75,4377
18310.7,9933,-1.15291248965875,9085.05,4790
19835.5,11890,-1.03880776655651,9873.05,5872
21173.85,13882,-0.922662335580699,10569.2,6995
20460.5,12781,-0.986857174689319,10232.05,6456
20527.85,12878.5,-0.981172345612942,10113.15,6277
19014.15,10789,-1.10300260566513,9364.15,5154
17812.55,9213,-1.19489276591507,8703.05,4287
19348.6,11225,-1.07758121615436,9544.8,5387
19597.6,11556,-1.0582819502643,9667.9,5572
20198.15,12400,-1.00907173754162,10075.05,6205
21109.75,13789,-0.928084787930474,10529.35,6931
23413.25,17688,-0.700749930814663,11711.45,8977
26244.15,22262.5,-0.434029411738932,13016.3,11080
28750.75,26539,-0.184684062558177,14218.4,12936
13531.8,3696,-1.51656663272911,6707.85,1801.5
13737,3953,-1.50158200634317,6803.25,1899
16892.5,8040,-1.26328563264932,8389.95,3927
18096.9,9634,-1.17034596549298,8989.35,4658
18294.8,9901,-1.15477827971459,9112.35,4827
19303.6,11165,-1.08107957250905,9660.25,5559
18220.8,9810,-1.16008412018588,9087.65,4796
18623.35,10311,-1.13087284462419,9168.65,4898
17580.55,8875,-1.21460017337984,8588.15,4155
19144.1,10963,-1.09285737223652,9449.7,5260
19480.1,11393,-1.06778581836122,9607.2,5476
20022,12161,-1.02300685702115,9875.2,5879
21471.65,14365,-0.894500566925419,10717.65,7210.5
22831.45,16672,-0.759988765087467,11274.45,8156
25848.55,21625,-0.471199448007547,12812.1,10773
28239.05,25619,-0.238325526663472,13928.3,12489
29486.2,27817,-0.110169072203212,14569.05,13491
30696.7,29929,0.0129730714819871,15196.55,14532
13230.3,3349,-1.53679879364708,6563.35,1631
12869.9,2982,-1.55819707334996,6390.85,1449
16838.3,7963,-1.26777518997118,8345.55,3881
16797.2,7916,-1.27051556911569,8346.65,3882
17203.6,8398.5,-1.24238295343003,8577.35,4140
18473.65,10144,-1.14060993647808,9235.5,4987
17771.1,9154,-1.19833281633052,8876.05,4500
16776.4,7894,-1.27179829977908,8377.15,3914
18045.45,9565,-1.17436907530087,8904.45,4535
19102,10910,-1.0959475870165,9433.6,5235
19497.3,11419,-1.06626986394085,9617.2,5487
20305,12547,-1.00050076447262,10094,6242
21630.15,14620,-0.879632552417973,10796.85,7337
23100.45,17136,-0.73293480927784,11363.35,8324
25220.4,20636,-0.528864021920739,12502.25,10267
26967.8,23468,-0.363741601979222,13321.75,11546
28932.25,26842,-0.167017362966976,14313.9,13092
30848.25,30182,0.0277244741109433,15296.3,14715
13164.2,3279,-1.54088020939423,6541.95,1607
13214.5,3337,-1.53749846491802,6561.05,1629
16585.3,7669,-1.28491713610918,8244.65,3764
