G1.fMRI,T1T2ratio,Evolution.Expansion,CBF,AllometricScaling.PNC20mm,PET.AG,Externopyramidisation,Cortical.Thickness,PC1.AHBA,PC1.Neurosynth
-2.972374845,1.546116691,-1.726372488,59.0596163,0.798765536,-0.527573129,0.402074598,1.946323365,-16.17552037,5.313402818
-4.104730087,1.498078728,0.425740897,65.50368981,1.215975892,-0.131118717,0.289589301,2.386512889,-4.576881218,-10.91652637
-4.465321892,1.506699605,-1.23317759,56.30642427,1.069532266,-0.258507918,0.127838834,2.119732102,-12.95819324,1.154318187
-3.68021356,1.508880602,-1.404348526,59.30634295,0.867264414,-0.383811304,0.363391108,2.028844171,-14.21235625,1.154318187
-3.76028501,1.480787196,-1.184210078,58.10154586,0.953862267,-0.141583439,0.413851526,2.185817791,-13.49744777,1.154318187
-3.996609343,1.458808479,-0.985882,56.8548388,1.055746886,-0.104993972,0.374659681,2.270075904,-7.817285816,9.472487448
-4.249206165,1.43834413,-1.471324348,50.86276892,1.064896103,-0.346299975,0.534154983,2.647230513,-7.918726251,16.38000802
-5.046522121,1.619256505,-0.292924653,54.27478921,0.913501367,0.02840871,0.199747375,2.714827562,-8.675091728,-26.29931758
-5.042306568,1.542989769,0.381761774,60.56327932,0.943518409,-0.075461203,0.185176394,1.77471346,-11.42885518,-26.29931758
-2.514140036,1.379289414,0.473475374,69.12178123,0.957790569,0.218053631,0.133034564,2.59206866,0.522845308,-34.24741033
-1.490084826,1.333456301,0.328800611,71.63632261,1.182336384,0.437201659,0.159482344,2.547461434,-1.360551369,-18.16523946
0.339662595,1.327031631,0.352634066,73.80805539,0.945761494,0.36140819,0.110952003,2.782218596,-1.770786318,-25.45244708
-4.445568351,1.495011318,-0.815179573,59.02908699,0.989900153,-0.087938621,0.246919662,2.116969061,-12.80032321,9.472487448
2.112520764,1.530769746,-0.424497868,59.40658947,0.900232266,0.346779427,0.159556193,2.220173347,-2.435055422,15.90270653
2.699955953,1.392777109,-0.793220963,61.74554021,1.07893765,0.545591811,0.182412913,2.353252832,-8.459015843,30.65109486
-4.40788631,1.487759272,-0.370312222,58.71372977,1.132022026,0.221677494,0.194692369,2.255370215,-14.60482654,-7.024108335
-3.540225154,1.392684425,-0.554610606,57.25839256,1.066538877,0.327607129,0.249179755,2.213353659,-7.155812001,-12.46475727
-2.967863044,1.360470332,-0.04108409,54.66642998,1.006039734,-0.365420853,0.752171587,2.831108957,-1.670216714,20.25503125
-4.231006294,1.454751214,-0.475750962,55.98511528,1.118498962,0.12671229,0.362478934,2.218669691,-8.663214794,-2.06131302
-4.141856543,1.420365624,-0.411190825,61.55334465,1.184759618,-0.112004375,0.305291802,2.318196767,-13.81189758,4.584548859
-4.034440005,1.393680712,-0.653367765,61.3322119,1.102720539,-0.007032377,0.466864341,2.629575435,-19.30229779,3.596187333
-3.958413729,1.381808308,-1.10822141,54.55415618,1.040278731,-0.168653421,0.444749275,2.640393229,-4.378544313,16.66468667
-4.090590106,1.499507478,0.234013755,65.83505095,1.164871114,-0.226459255,0.264704348,2.443003515,0,-12.91631332
-3.761145464,1.747352905,0.468389245,83.93649567,1.058711681,-0.068826227,0.244600059,2.655938883,-11.00863871,-28.17119072
-0.285388619,1.266078398,1.403843728,68.49900843,1.000076072,-0.275759547,0.228037063,2.789908807,-1.964466934,-23.31703146
3.460853846,1.208760714,0.823767841,56.51383499,1.04332043,0.594758959,0.045501647,2.943575633,1.205860636,1.154318187
-0.799722693,1.291234498,0.055527439,61.00247498,1.058017004,-0.072394173,0.217889859,2.538323796,-2.671145465,1.154318187
-1.038889266,1.315996154,1.116393933,69.4567488,1.019154912,-0.279658329,0.388735025,2.777543093,-1.890034859,-2.780644735
2.6549768,1.278582992,-0.367161664,61.01543432,1.042576581,0.140476856,0.126450916,2.387170663,-9.681264244,-5.67454821
5.929411649,1.331810142,-0.499535943,65.13351032,1.186792509,0.225378932,0.108676197,2.645124899,-5.978950662,33.43413682
3.352420805,1.381284518,-0.34335637,59.62308306,1.084888361,-0.029283965,0.239847021,2.738512014,-3.439856951,40.73560869
4.204714581,1.307838918,0.504547538,74.85747598,0.937700675,0.295810829,0.176013014,2.988938822,1.60439808,1.154318187
5.847326226,1.401965796,-0.267838357,66.6910069,1.111111822,0.177592517,0.127343904,2.891930518,-1.323582599,35.93054609
5.84778536,1.401504903,-0.09587334,78.75248684,1.057511039,0.57358985,0.185743122,3.152313645,-0.435055575,35.86070346
6.176458757,1.336248005,-0.130731973,69.2446208,1.113478002,0.475700383,0.174129813,2.616394965,-5.893424163,19.97202228
-5.224428415,1.472547999,0.003820125,48.25817399,0.826678869,-0.069795617,0.083421864,2.261135846,-10.04749756,-26.63544204
-3.97839372,1.299266312,0.248368988,46.30299489,0.862800155,-0.047889412,0.235236829,2.208743339,-6.806313439,1.154318187
-2.141789335,1.252193332,0.598666928,59.39915229,0.894926441,-0.112103231,0.222578934,2.473750106,0.890895847,1.154318187
-5.020228624,1.286240377,-0.168737033,45.92523366,1.008236227,0.003111802,0.129073592,2.175561277,-1.952552454,-23.42307528
-5.185046141,1.44151492,0.816705756,52.39461748,0.879289791,-0.146138348,0.149613387,2.747962724,-1.584754819,-26.29931758
-4.710601094,1.302292062,1.187403503,52.85629469,1.029153295,-0.20640714,0.201596139,2.671700545,4.726901783,-29.51168435
-4.033635842,1.273317854,0.209768164,53.36471243,1.080647761,0.069460359,0.130688042,2.177858315,-4.006655784,-28.9646275
-2.616674461,1.285971679,0.950716828,57.68584654,1.066106199,0.285619463,0.089745242,2.859771501,0.297869537,-26.53685838
-1.490865317,1.233721999,0.592467942,53.00823219,1.043647702,0.506627747,0.166102381,2.708718362,1.038918506,1.154318187
-1.964545976,1.241255163,-0.282622014,57.43023587,1.016560199,-0.088956621,0.172319568,2.35692358,-4.2285031,-5.108628492
-1.082045245,1.312521047,-0.520704126,59.72603963,0.91268496,0.26784663,0.246042682,2.30233811,-6.351193439,-16.151415
-4.570985063,1.334758842,1.31939335,55.17671595,0.989644316,-0.108072981,0.152576967,2.32035532,-4.614233122,-32.93618128
-3.871542389,1.420087327,1.566183503,61.46588851,1.141807549,0.094464529,0.135501144,2.189005072,-5.704959434,-29.09063952
-3.846190863,1.338807011,0.619310414,58.52936962,0.987873462,0.258114033,0.168846303,2.264843459,-5.473147126,-22.23674874
